"id","brand","ram","prosesor","storage","baterai","ukuran_layar","harga"
1,Samsung Galaxy S23,8 GB,SM8550 Snapdragon 8 Gen 2,128 GB,3.900 mAh,6.1 inch,Rp.11.050.000
2,Samsung Galaxy S23+,8 GB,SM8550 Snapdragon 8 Gen 2,256 GB,4.700 mAh,6.6 inch,Rp13.850.000
3,Samsung Galaxy S23 Ultra 5G,12 GB,SM8550-AC Snapdragon 8 Gen 2,256 GB,5.000 mAh,6.8 inch,Rp.19.999.000
4,Samsung Galaxy S22 5G,8 GB,Snapdragon 8 Gen 1,128 GB,3.700 mAh,6.1 inch,Rp.8.600.000
5,Samsung Galaxy S22 Plus 5G,8 GB,Snapdragon 8 Gen 1,128 GB,4.500 mAh,6.6 inch,Rp.9.600.000
6,Samsung Galaxy S22 Ultra 5G,12 GB,Snapdragon 8 Gen 1,256 GB,5.000 mAh,6.8 inch,Rp.14.500.000
7,Samsung Galaxy S21 FE 5G,8 GB,Dimensity 2100,128 GB,4.500 mAh,6.4 inch,Rp.7.500.000
8,Samsung Galaxy S21 5G,8 GB,Dimensity 2100,256 GB,4.000 mAh,6.2 inch,Rp.12.000.000
9,Samsung Galaxy S21 + 5G,8 GB,Dimensity 2100,256 GB,4.800 mAh,6.7 inch,Rp.14.300.000
10,Samsung Galaxy S21 Ultra 5G,12 GB,Dimensity 2100,256 GB,5.000 mAh,6.8 inch,Rp.8.899.000
